,Text,Labelled_topic
892,I love the taste of this green tea. It has a natural sweet mango taste and not the bitterness of plain green tea. I use 5 bags to make a pot.  Great tasting and good for you!,5
903,"I started loving Oolong tea after I discovered a bottled product called 'Tejava'. That product is over a dollar for a 12 ounce bottle. I needed something less expensive so I tried this 'Prince of Peace' brand Oolong.  After a few brewing experiments, I now love this stuff.  What I have learned; If brewing as 'sun tea' this type of tea seems to come out very weak. If you put this tea in boiling water, it may come out bitter.  I now heat up my water in a microwave until it is, very hot to the touch, but no way near boiling. I then put in the tea bags and let it brew for about twenty minutes (I like strong tea). I have, to my taste, duplicated the 'Tejava' brew at a fraction of the original cost.  Enjoy  Ken",5
906,"Medium/light roast you can really smell and enjoy the aroma of high quality arabica.  If you are a fan of medium/light roast you will enjoy this coffee.  Smooth, no burning flavor.",5
907,"I like to brew a k-cup cocoa into my coffee for a nice mocha.  This dark chocolate flavor is quite nice, especially mixed with Double Black Diamond coffee.  Though not the very best, it is good, and the price is right, compared to other brands.",5
936,"This syrup tastes very good.  Not quite as good as Starbucks, but comes close.",5
937,"I love Sumatra coffee and was excited to receive these K-Cups however was disappointed when I opened my Amazon box and found that the plastic wrap holding the two boxes of K-Cups was full of grinds meaning that there was a possible blowout of a cup... after carefully unwrapping the boxes and attempting to get as little coffee grinds everywhere as possible I opened the first box and all cups were fine, however the second box every kcup was covered in fine grinds and I had to clean each one and found that 3 of the cups were defective due to the top being stamped on at an angle and the grinds had spilled everywhere. I now see other reviews stating they had defective cups as well. However the taste of the coffee is good.",5
941,"Carnation Instant Breakfast, Classic French Vanilla, No Sugar Added, 8-Count Packets (Pack of 4)My husband has used powdered Carnation Instant Breakfast French Vanilla for 40+ years and says that it is the best drink he has each day.  He has developed Diabetes and changed to the sugar free mix and likes it as well, if not better.  His blood sugar has gone down and we seem to be able to maintain it now.  We are so glad that he can still have his ""best drink of the day""!!",5
954,"When I order the beans I had opened the lid and the seal was already broken like it had been pushed in and I didn't want to eat them nor give them to my husband. So I had contacted the seller through Amazon and they said Throw them away and we will send you a new batch and they did just that no hassle and no problem and they shipped pretty fast. These beans very very good compared to some. We are coffee lovers and Dark chocolate lovers so we had to try this pair and glad we did. Oh did i mention it has a real coffee bean? LOL some that we have tried was like ground coffee bean bits not the whole bean. so over all good price, quality and the amount and it is yummy :)",5
956,"As many other reviews have mentioned, these are not the normal K-Cups, but they work much the same. I generally drink the stronger K-cups (Emeril's, Jet Fuel, Kona, etc), and I find that these Fog Chaser pods compare very favorably. There is no bitter aftertaste, just smooth flavor. I have not had any sediment at the bottom of my cup (I've had sediment from other K-Cups). I think people are a bit thrown by the smell of the coffee bag when they get it, as it is a much stronger smell than you'll get from a box of K-Cups. It does smell like when you open a fresh bag/can of ground coffee, which is sort of refreshing after using K-Cups for 3 years. We've just finished the first bag of 12 (6 days), which we kept in a ziplock bag, and the last cup tasted as good as the first. I already placed a subscribe and save order for the French Roast to try out. I will be keeping my subscription for the Fog Chaser, as it is quite good.",5
962,"My wife and I have been eating these for over a year and really like them. We slightly prefer them to Newman's Own, but of course that's personal taste.",5
963,"These flakes are smaller than I expected for something called ""large,"" but they taste great straight out of the package.  Throw them in your hot or cold cereal, on top of ice cream, or mix them into yogurt.  They're a sweet, crunchy, healthy treat!",5
984,"It is not worth the money.It does have a terrible taste.I bought one so far and stopped buying it and threw the unused coffee in garbage. If you want a good tasting instant coffee try Nescafe Classic or Nescafe Gold, available everywhere on earth but parts of the US.",5
985,I add this to sugarfree cappuchino and it tastes great.  It tastes just like the brands in the gas stations when I get a cappuccino there.,5
990,This is a tad better to me than the Mojito flavor. It's final mix is a translucent green. It's not too sweet but doesn't have that totally artificial-tasting twang to it either. I would definitely buy on my own.,5
997,"When I bought my Keurig brewer, I eagerly looked for other beverage options for my wife who is not a coffee drinker.  I'm still looking.  The Grove Square Hot Cocoa had a nasty aftertaste, almost metallic.  No amount of cleaning/tinkering with the brewer made any improvement.  I used the brewer to make hot water for a Nestle Hot Cocoa pack, and that was a far superior beverage.  The Grove Square quickly found it's way to the trash.  I'll find quality mixes and use the Keurig to heat the water from now on.",5
1003,"I've tried to capture the taste of really fine coffee I've experienced in some excellent restaurants without much success--including grinding my own beans, buying expensive ones at specialty shops, etc.  This product, while not quite doing justice to my memories of great coffee, comes closest.  It is somewhat expensive at about $9/lb.  Supermarket coffees are, of course, much cheaper--and you can get larger packages at discount places for much, much less.  I even tried mixing this coffee with Folgers--and it was pretty good too.  Naturally, this coffee is much richer so one needs to experiment a bit to figure out how much to use in your coffee maker.  I drink coffee straight up--no sweetener, no milk products, but I like it pretty strong--but not burnt or over-roasted.  This coffee is not over-roasted or bitter (unless you use too much of it).  I found it superior to the other Melitta products I've tried as well as to other much-vaunted brands such as Starbucks, Seattle's Best, and Gevalia.  But taste is on the tongue of the beholder...",5
1006,"Based on the reviews, I ordered a 6 pack of these.  BAD IDEA. We have tried a number of different varieties of pods,  these are by far the worst. This stuff is so bad no one here will drink it. You might want to buy one bag and try it before ordering a 6 pack.",5
1010,I love this tea which has a deep cinnamon aroma and taste.  It's equally good as an iced tea.  Full marks!,5
1016,"Even with the tips shared on how to open it, it's still pretty difficult to open.  I guess I have weak hands. My husband usually has to open it for me, and even he doesn't do it with ease.  I would recommend getting the larger Prepara herb savor instead of the pod.  It's much easier to open and can hold more.  I could hardly fit any cilantro in the pod (considering that the grocery sells them in such large bunches and I only use half).",5
1018,"I really love herbal tea, especially orange and mandarin. But all of Teekanne's teas were tasteless and even if you put two packages in a cup of tea you still get no taste. Now I have three packages of Teakanne (2 relaxing and 1 energizing) and I don't know what to do with it. Surely will not drink it.",5
1027,"I have been looking everywhere for apple cider k cups.  Decided to check out amazon, and low and behold here they are.  They taste great, but as someone else mentioned they are a bit pricey.",5
1028,"I purchased this coffee to make iced coffee drinks.  It has very little 'coffee' taste, and the dark chocolate taste is more chemical than chocolate.  Similar to the taste of flavoring used in baking.  I will not be purchasing this coffee again.  My suggestion to those considering a purchase . . . buy something else.",5
1029,"This particular flavor of Folger's gourmet coffee didn't turn out to be my favorite in their Gourmet line, but it was pretty good nonetheless. All of their flavors are good.",5
1034,"We love hot apple cider and this was no exception! My 9 year old drank 6 cups the very first day I got this.  It has a wonderful, fresh apple taste with just the right amount of spice.  We will be ordering this on a regular basis!",5
1039,"I discovered Ambrosia custard while in Ireland and absolutely love the subtle taste and smooth texture.  Ambrosia is a great light dessert when looking for something with minimal sugar, and the taste better than Birds, imo.  I would like to be able to purchase it in the aseptic boxes sold in the UK but am happy it's available at Amazon.",5
1047,"For those who do not drink coffee, this is a great compliment to the teas and ciders also available for your Keurig.",5
1048,"Very bitter!  I couldn't taste the coffee at all.  It basically tastes like baking cocoa.  No sweetness, no richness, not coffee.  I bought the 4 pack though, so I've begun mixing it half and half with Swiss Miss (in the can), and then sprinkling it with instant coffee after I've made a cup.  Even making it with whole milk couldn't make this yummy by itself.  If you like a rich chocolate taste with just a bit of coffee.... shop elsewhere.",5
1052,"I discovered this product a couple of years ago and really liked the taste in coffee , tea and on fruit and oatmeal.  It was a lot less expensive in the packets then, but I've switched to the large 12 oz. container and the price is very good. I don't use sugar and this helps me have the ""sweet"" and not the increased blood sugar-YEAH!!",5
1066,This apple cider is very flavorable and really hits the spot. I am very happy with this purchase and plan on buying this product again.,5
1075,"My husband and I are coffee and tea freaks!  We'll try just about anything once.  I really like this tea, even if it's not Christmas.  Very smooth, the mint finish is very nice.  The ginger note is subdued, and not overpowering as I thought it might be.  Well worth trying at least once.",5
1077,"I carefully read all the reviews on this Item before ordering! I must say, there are not that many real Tea drinkers writing reviews for this particular Item. Sure, if you are a Lipton dipper, this is a great tea. But if you know what a quality tea should offer, you would not have given this product more than 2-Stars. The Aroma when first open the bag, is quiet decent, but when the tea is Brewed, the flavor is a disaster. It is basically a lipton like flavor. The color, is also unlike a good quality Earl-gray! Which it should have an amber color, that can be anywhere from light, to deep end of the spectrum, depending if the tea is a Single Body, or need to be mixed with another tea for potentiation of Color.  At last, the tea leaves are not uniformly sized, which basically means this tea is probably a mixture of low quality teas, just flavored as Earl-Gray!  Coffee Bean direct should consider offering a better tea, for a few more $$$!!! At least 2Lb of tea would be worth Brewing!",5
1079,I've been drinking the mocha CLICK on a daily basis for almost 2 years now and was VERY excited to hear a new flavor was coming out.  The vanilla CLICK is very good and a good option if you don't like the slightly thicker consistency of the mocha CLICK.  I'll be ordering both flavors each month from now on.,5
1083,"While in Jamaica, my wife and I drank Blue Mountain Coffer every day and loved it.  We even went on a bike tour of the Blue Mountains, and purchased some coffee.  It came in a plain clear plastic bag, and we could see the darkness of the roast.  We enjoyed that coffee.  In Ocho Rios, we bought some bags of JABLUM.  You can't see the darkness of the roast, and all you can smell is the burlap bag.  When we opened it up, it was a very light roast, not much fragrance, and once brewed, the coffee tasted a lot like dirt.  We were very disappointed.",5
1089,"I don't think you can beat the value of this coffee, especially with the Subscribe and Save program! It is also a great French Roast with a full, deep flavor. It does not taste burnt like some of the Starbucks varieties, but is smooth and a little smokey. I like strong coffee, and so this is definitely the way to go for me. I've had compliments from visitors to our house on how good the coffee is, as well. I'm completely satisfied!",5
1092,I used the small cup setting and even opened up the cap and scraped the excess mix out of the cup and it is still very weak tasting.,5
1095,"I looked a long time for dark roast decaf that tasted like this one does.The package doesn't say where it is grown, but it tastes like Columbian beans to me. I hope Amazon keeps handling it. GREAT COFFEE, Gerald",5
1106,"Coffee was burnt, had a bad aftertaste, and very acidic.  note sure if a bad batch but this was not good coffee.",5
1112,"I bought this on whim one day while shopping. The unusual flavor interested me. When I popped it, the wonderful smell of lime filled the kitchen. The taste is great! Not over powering but refreshing & tasty. This would go great on a summer day or night with margaritas or beer. Great new flavor! Would never have thought of adding lime to popcorn but it works!",5
1120,Looking for great coffee at a great price?  This is it. K-cups are expensive but this coffee is great tasting at a great price when purchased from Amazon,5
1129,No complaints whatsoever. This is a tasty coffee drink. The coffee is strong and good and the sweetener is perfect - just sweet enough without being that kind of sickly sweet that mars something like Starbucks' pre-made iced coffee drinks. Just about perfect. Refreshing and a nice boost for the afternoon.,5
1131,If you like a strong but smooth flavorful coffee this is it. I have tried others and just keep coming back to this one. My second joice would be the Starbucks Italian blend.,5
1134,"Tasty coffee.  Works well in drip coffee maker.  Smooth taste and nice flavor.  Remember it's preground, so don't expect fresh ground, recently roasted bean taste.  But it's a lot more convenient.",5
1135,"I don't enjoy giving products a bad review but I was so disappointed I had to.  I've tried quite a few teas and I've been able to drink teas that others say taste like dirty dish water so I can get down some pretty harsh teas.  I usually don't use any type of sweeteners either because I drink my tea right before bed.  I've tried to give this tea a chance.  Ive tried it with sugar, honey and lemon and masking the flavor with vanilla and a little milk.  To me, this tea smells like dirty feet and probably tastes like them too.  I've also tried straight chamomile teas before too so I know it's not that.  I would rather eat the plant itself than drink this tea.  I haven't tried any other Twinings products so this review is strictly for this product.",5
1136,"I usually purchase the Green Mountain Naturals Apple Cider.  I found this product was much cheaper and I would try it.  From now on, I will spend the extra for a taste I enjoy.  This went down the sink!",5
1137,"I enjoy this tea plain, with honey, or with a splash of milk. The ingredients are simple and natural;  no soy lecithin, no so called natural flavorings.  Very difficult to find herbal tea in the market place that doesn't have junk added to cheap it out.  My children enjoy this tea warm with honey during the winter.  Iced during the summer with a hint of sugar and a wedge of lemon.  Ingredients: Hibiscus, cinnamon, Ginger, peppermint, orange peel, rose hips, rose petals",5
1142,I am not much of a fan of Amaretto.  I followed the advice from other reviewers (purchased the variety pack and tried them all).  The Amaretto and Vanilla flavors are my favorites.  I normally don't drink flavored coffee but that is about to change.  I am so glad to have found this caffeine free option so that I can continue to enjoy a cup or two in the morning.  I really suggest you order the variety pack first and find out what suits your taste.,5
1144,"This Hot cocoa is the nastiest tasting instant cocoa I've ever had. I know it's not going to taste like the real thing, but after just three cups I can't bring myself to finishing the box. I think I'll just throw them out. Our k-cup machine is about a month old and the coffee flavors we've tried are all fine so we wanted to try the cocoa. The first try was very watery so I thought the cup size needs to be reduced. This results in just a sweeter cup of hot water. Stick with coffee.",5
1155,"I bought this green tea because it is organic. I knew I was getting a healthy product but what I got was much more. The taste is really good. It is fresh, smooth and full bodied. You will be pleased with this high quality tea. What a nice surprise. Note: This Bigelow product comes 40 bags to a box and 4 tea bags to a wrapper.",5
1158,"With  Green Mountain Hot Cocoa  being perpetually out of stock in the winter, I thought I'd give the cheaper Grove Square brand a shot.  Since the K-Cup patents are starting to sunset, Grove Square is one of the first ""unofficial"" producers of ""we can't legally call these K-Cups but they work in your Keurig(R)(TM) coffee maker"" pods, and I thought that I'd be getting the same overall quality, without the licensing fees tacked on to the price.  Well... I was right about Grove Square being cheaper. But I think that's the nicest I can be.  As others have pointed out, there's a definite ""diet"" or "" Splenda "" aftertaste. This hadn't been reviewed yet when I bought it, so I didn't see the warnings from others, and re-checked the ingredients several times to make sure.  ""Well... it's got 60 calories, which seems a bit lower than Green Mountain, but a bit high for something that diet-conscious people would want."" and the ingredient list didn't seem to point to obvious ""diet"" sweeteners.  The overall taste is kind of like someone dropped a sugar-free Tootsie Roll in your hot water, using the normal cup setting. Going one size down didn't seem to improve much, beyond making a weak chocolate flavor sweeter - but that just meant a heavier shot of low-calorie sweetener to the taste buds.  The way I see it, I saved about $5 by going with this brand. On the other hand, now I've got 20 of these cups left that are probably going in the trash if I can't sucker someone... er... please my discerning guests... with a few cups.  If you drink diet soft drinks by choice, you're probably going to like this.",5
1163,it is hard to believe the instant coffee can have the same taste as brewed one.,5
1164,"Once again I find myself trying to like Tazo herbal teas, but they keep putting licorice in teas where is just doesn't seem to belong, to me anyway.  This is another example where I expected a lovely flavored tea and the licorice flavor is so strong, it's just about all I can taste.  I guess I'll just give up on Tazo - who ever blends all their teas has radically different taste buds than mine!",5
1172,"This does not taste at all like ""cough syrup"" as the other reviewer stated.  This is the best gum out there and I highly recommend it.  I am not a plant, I live in Austin, TX and bought a pack of this in San Antonio - I just ordered a box on Amazon.  This and the Lemon are the best flavors Orbit makes.  John",5
1173,"We have tried many different whole bean french roast coffees. This is one of the better we have tasted. The fact that it is fair trade, organic and shade grown is a bonus",5
1176,"I've ordered most of the cheaper Tea's Etc add on teas and all have been great both in terms of flavor AND value. I cold brew using disposable tea filters closed with toothpicks in  Takeya Airtight Drink Maker Pitcher / Jug, Set of Two  and it works wonderfully. (Those jugs are great, even better if you can still find them half price at Costco.)  I'm glad I ordered this when I did, the price has more than doubled! I'd still say it's a GREAT value. This is my go to tea when I want something with a little more flavor than ""regular"" black tea. I don't sweeten my tea, but I think this would be a perfect sweet tea for a hot day. The orange flavor is very palatable unlike some others. It's noticeable without being pungent or artificial. It also isn't spiced like many other orange teas.",5
1181,"Lipton does taste good but it's not a good quality tea! If you open the tea bag you'll see their not tea leaves but tea dust (cheep). Even the loos lipton tea is described as being ""broken down so you need a fine filter to strain it."" When you steep good tea it should unfurl and look like spinach!  They say this tea comes to $0.57 an oz?!?!?! Lets do the math. $27.54 devided by 8oz = $3.44. I buy my tea from Set to a Tea [...]). It's really good tea with flavoring and dried fruit pices. It comes to $3 an oz for a tin or $2.57 for a refill. Weather you buy it loose or in bags you get the same quality tea! I went to a tea party last year (like a tupperware party but more fun) where the chick told us all about the different kinds of tea and gave us samples.",5
1189,"The ones I received were mostly yellowish in color with some light green instead of dark green, dry and somewhat stale, they may have been in a warehouse longer that they should have!",5
1202,"I've ordered several davidson's tea and they have all been exception. Except this order of decaf green tea tasted like rotten tea, maybe I just got a bad bag.",5
1208,"Loved the depth of flavor in the vanilla flavored starbucks coffee.  I really loved that the rich coffee could still be tasted through the flavoring, the vanilla complimenting rather than overpowering.  Tastes like a true vanilla bean, not just sugary syrup.  I only wish that starbucks, and everyone else who has flavored coffee, would include nutrition facts on the side.  Not sure why coffee doesn't see to have to, but I wish they would.",5
1217,"I have been buying this for years, it has always been two boxes of 50 pods each for the $59.98. Recently the price has doubled to one box of 50 pods for $59.98. Greed. I have been forced to shop for other brands and surprising I do like the other brands.",5
1229,I have purchased green coffee beans from several local and internet providers often with poor results.  U-Roast-Em is the exception. I have never had bad service with this company and now purchase all of my coffee from them.  They provide an excellent selection of high quality beans at great prices.  They do a great job with packaging and shipping!  Most of my orders have shipped the same day I ordered.  I have tried most of their coffees and have yet to be disappointed.  If you are looking for a good mid priced coffee I would recommend La Minita Tarrazu de Costa Rica.  I highly recommend you check out U-Roast-Em for all your coffee needs!,5
1230,"I tried this for the first time and I loved it.  Nice bold taste, smooth.  The price was excellent considering what I have been paying elsewhere.  I intend to purchase this again if it is still available and would recommend it to people who prefer strong bold taste.",5
1234,When summer comes I am constantly drinking ice tea.  Last summer I was told to stay away from caffeinated beverages.  What was I going to do without my ice tea?  I looked in Amazon.com and WOW!  Amazon had Lipton Tea Bags and they were DECAFFEINATED!  I was saved!!!!  I ordered some and I have been enjoying my ice tea ever since.,5
1253,"I add this to the sugarfree cappuccino just to give it a flavor.  It tastes great, and does taste like York Peppermint Pattie Flavor.",5
1254,"If it were possible to give this product zero stars, I would have done so.  I am a huge fan of Twinings teas, and was very excited to try this new blend.  After arriving home from the grocery, I immediately started the kettle to enjoy a cup while prepping dinner.  Between sorting, washing, and chopping items, the hot water was added to the bag to steep.  Preparation continued, until a distinctly off odor hit me.  I thought one of my ingredients must be rancid!  I hunted around for almost four minutes before I realized it was the tea.  Even after cleaning up, and airing out the kitchen, my roommate later came in and asked about the smell.  Save your money to purchase ANY other Twinings product.",5
1263,"This pecan meal is more like bran flakes than pecans.  I had thought it was ground pecans, and the name would indicate that.  The container it came in is very light, which was my first clue it was not exactly the whole pecan nut meat.  The ""meal"" is flaky.  The price might have been a clue, I suppose, since the per pound price of pecans is over $12 most places.",5
1264,What else is there to say? A great strong flavored coffee at a great price.,5
1268,"I used to live in Baton Rouge, Louisiana and learned from my relatives to brew and enjoy Community Coffee, preparing it in my little white porcelain beggin just like my grandmother and aunts.  I make my own blend of coffee beans and was so pleased to see that Amazon was now selling Community Coffee.  It is as good as I remember if being, particularly since I like a very strong, rich flavor.  I'm now using their Sumatran, French Roast, Expresso and Columbian to make my blends and am very happy with the results.  So are my relatives and friends who ask to use my blends themselves.  Great coffee from the land of strong coffee lovers.  I'm moving on to chicory laced coffee now as Community carries it.  Personally, I like this brand much better than other Louisiana coffees.",5
1270,"I have tried a lot of hazelnut coffees and this is my favorite.  The K cups perform well unlike another brand whose name I won't mention (WP) and the flavor is much bolder than every other brand.  Green Mountain used to have a bold one but it was discontinued except in sample packs (with other flavors).  This coffee has a nice taste, too.  I just wish I could find it locally and for less money.  You used to be able to get a bundle of large boxes from Amazon but they're not currently available.  I think this was the best price I could get but was disappointed when I received my 3 tiny boxes - if you overlooked it these boxes only contain 12 K cups each.  I'll keep looking for better value but in the meantime I can still enjoy a good cup of coffee made at home.  I gave it only four stars because of the price but I do recommend this coffee.",5
1275,"This tea tastes wonderful by itself with a little honey or stevia, if you are counting calories or carbs.  For a real treat, mix it with a little peppermint tea.  Bigelow makes a Morroccan Mint that is really great for this particular mix, but it is not available on Amazon (yet).",5
1279,"Unfortunately, I believed that by looking at the packaging, I was getting the OLD style gum, which has a lesser chance of sticking to the paper when carried in my pocket for a few days, than the new cheap gum.  I loose more gum now because it sticks to the paper after I've carried it in my pocket for a few days.  The old gum was less likely to stick to the paper under the very same conditions.  Needless to say, I am quite dissapointed in Wrigley's decision to CUT the quality of their Doublemint Gum.  And also, needless to say, this will be my last purchase of ANY Wrigley's products.  They had a good gum before.  ""If it ain't BROKE, don't fix it.""",5
1281,not the best coffee but it is not bad as well. we bought more after we tried the first time because for the price we've got it is fine. Godiva is still our favorite but this one is okay too.,5
1287,"Great Keurig tea pods.  This is not chai latte, so don't expect white milky beverages.  This is just tea flavored with chai spices.  I suppose if you add hot milk you could make a decent chai latte though, but I haven't tried it yet.  Very bright flavors, but not overpowering.",5
1288,"Of course the Keurig Green Mtn Hot Cocoa is the ultimate in convenience, but, frankly, the flavor is not so hot.  Best description is slightly chocolate-flavored cardboard.  Everything else about it is fine (consistency, ease of use), but G.M. should ramp up the flavor with way more chocolate.",5
1301,"Bigelows only red tea (so far) is pear. The flavor is excellent, no caffeine, and its organic. The pear flavor is light and doesnt taste artificial (because its not). I have about 20 red teas that I drink regularly because it so low in tannins and doesnt aggravate my illness. Bigelows Asian Pear is one of my favorites.",5
1303,This is the buy of a lifetime.  $25 for about 50 beans instead of $10 for 2!  And the flavor was great.  Made ice cream that everyone raved about.  I vacuum sealed portions for future use to keep them as fresh as possible.,5
1309,"This is my favourite tea! At work, I sometimes cannot get to it right away and it doesn't matter how long it sits, it doesn't get that bitter bitter ""like your drinking a dandelion"" taste. It's refreshing and I can't start my day without it!",5
1310,"The leaf in the bag and the overall packaging quality is good but no one in our family and group of friends likes the taste.  Since it has all the other positive reviews, I've been subjecting people to it off and on since my July purchase trying to find at least one person to say it tastes good - with no luck.  It doesn't taste like peaches to us; it has an off taste that makes our gang say yuck.  We like many different kinds of flavored hot tea and switch between drinking black or green iced tea (usually decaf and usually made as sun tea). Some of us add sweetener; some of us don't. We like peaches both fresh and canned. For these reasons, I can't blame our dislike of the taste on the simple fact that it is flavored and a green tea.  Maybe the passion fruit in it someone else mentioned ""isn't our cup of tea""?",5
1318,i love tazo teas i dont really like friuty ones but this one is okay it is tart so i have to over sweeten it its not one ove my favs,5
1323,"The products lid stays attached to the needle on the Keurig, allowing coffee grounds to fall everywhere. Very messy. If this didn't happen, it would work well.",5
1324,I love flavored coffee and Folgers is great.  Amazon has better prices then you can get at the store.,5
1326,We have been buying this coffee every month for six month.  It has a nice mellow earthy flavor with low acidity.  Considering I worked at starbucks for a few years I would say this is on par to their dark latin american blend.  The beans are always fresh.,5
1350,"After reading the reviews I decided to order a bag and try it. I had had numerous styles of Kona coffee over the years and love the smell and flavor. When it arrived I ground some up and brewed up a pot. The smell was there but the flavor was lacking. It was missing that Kona pop that I have experienced in the past with other coffee's. Over the next few weeks I tried different brewing combinations. No matter what I tried, it was quite bland and just did not have any flavor. I was quite disappointed by the coffee.",5
1364,I really like black tea and this is a great taste substitute while pregnant.  I had to brew it stronger than recommended but it's great.,5
1370,"My son had this Jablum roasted and ground coffee brought back from Jamaica and paid a lot for it.  I have drunk blue mountain for years when I can but this was shocking.  It tasted stale when you opened the bag and even worse when you drank it.  It was definitely off.  He bought 5 bags and every one we tried was the same.  I would never buy another.  We had bought another brand in a tin from Jamaica which was fine.  I think this is a con.  You get all the rubbish about it being tested in Jamaica, well I dont know who tests it but definitely not someone who likes good coffee.  I just dont understand how people say its any good. Maybe having paid so much for it its like the emperor's new clothes.",5
1372,This syrup is an amazing addition to any kitchen. It's delicious and smooth and goes very well with chai tea.,5
1373,This is absolutely delicious! My husband has had it on vanilla ice cream every night since it arrived. Just the right blend of chocolate and raspberry.,5
1377,My family makes a lot of ice tea during the summer.  We are not able to find affordable/quality loose tea in our community.  Lipton's loose tea is the best!,5
1390,"Make it hot, then enjoy it as hot tea or add ice cubes for iced tea. The varied flavors give you an opportunity to try out different flavors. Celestial knows how to make good tea!",5
1391,"Okay, so it doesn't taste exactly like pumpkin.  It does sort of have a pumpkin essence, however.  Maybe it just sort of smells pumpkin-y.  Either way, the tea is delicious.  My co-workers tease me about how many cups a day of it that I drink.  Personally, I like it with a packet of  Truvia,Natura's Calorie-Free Sweetener  1  Ounce Packages (Pack of 400)  or  NuNaturals Nustevia Nocarbs Blend, 50 Packets .  As far as the comment another reviewer made about the black tea tasting like Lipton's, maybe that makes it more authentic.  It is said that chai tea was first created in India to make undrinkable tea bearable.",5
1403,I love this TEA. It has a very smooth taste and not bitter like other kind of tea. I do agree that the string seems to come apart easily but I can live with that. No big deal! The quality of TEA makes up for that.,5
1407,"I'm a pretty big coffee drinker, but had never tried Kona coffee before. I gotta say, Hawaii Roasters Kona Coffee was the best coffee I ever had. The type of coffee you want to savor for the flavor rather than gulp down for the caffeine (which is really hard to do because it tastes so good, after your first sip you just want to keep downing it rather than savor it). I purchased my first package right before the holidays and it was a total hit with my family and friends. I am now totally hooked and strongly recommend Hawaii Roasters Kona to all coffee lovers.",5
1419,"Expensive but so far is the best green tea I could find. Coconut green is my favorite flavor, amazing. I will definitely order more.",5
1423,I thought this a nice evenly tasting coffee with no bitterness or after taste. I enjoy it and will buy more in the future.,5
1433,The coffee is great tasting but is expensive in my book. If Nestle hadn't sent me the machine for free I wouldn't have bought it. It leaks and is not a great machine for an office. Our office doesn't like it because you have to keep going to the bathroom to refill it with water because it only holds two cups worth of water. It does make a hot cup of coffee in a very quick time though.,5
1436,I personally use it to make iced tea. It tastes great with a little sweetner. Tha acai is not overpowering as in other teas I've tried.,5
1440,"I have a Keurig coffee maker. You know, the one with the K-Cups.  To have a coffee like this, you have to have a special filter, which I do have.  Honestly, you'll spend a crapload of money on K-cups if you don't get the filter for regular ground coffee.  Anyway, I don't know if it was because the coffee was ground or filtered a special way, but the water in my Keurig had a hard time seeping through, causing a bit of an overflow.  Aside from that, the taste was smooth and flavorful.  It has a coffee taste, plain and simple.  Is it anything special, not really.  It just tastes good and is reasonably priced.",5
1443,"I usually use Twinings English breakfast loose tea.  This was a poor substitute for that.  This tea has a strong, earthy taste, almost like dirt rather than tea.",5
1446,My favorite coffee!  It is very dark and has a wonderful flavor without the bitterness!  Reminds me of the coffees served in Germany.,5
1451,Maxwell House ground coffee from the supermarket is beter coffee. Searched underorganic coffee and got Lavazza. Amazon should give me about $13.00 back as a credit!..... Dave,5
1458,"I recently got a Keurig coffeemaker and tried out different brands of Decaf to come up with a favorite. Newman's Own is definitely not among them. Taste very much like a cheap restaurant coffee, watered down with hardly any coffee taste. I happen to like robust coffee taste, and this one doesn't even qualify as ""medium"". If you like good coffee taste in your decaf coffees, I would highly recommend the Green Mountain Robust Magic and for a little lighter touch the Donut House Decaf or Tully's. Also, of all the different brands I tried, the Newman's Own was the only decaf that gave me an acid stomach reaction. NOT recommended!",5
1461,This is a favorite in the office and in my house. We burn through this coffee. I've tried a few of the other Wolfgang coffees and this one is by far the best. I've seen better prices for this at a lot of other places. This is an excellent coffee to start your day with.,5
1466,"I have always enjoyed Timothys coffee, however the quality of this box was unacceptable. Out of 50 K cups 16 failed while brewing, coming loose at the edge and making a huge mess on my counter top. I will not be purchasing this brand of coffee again.",5
1471,"This is my favorite coffee ordered online, and I have ordered quite a few.  Bold but not bitter, and good for a crowd.  This is also a very nice price for good coffee, from what I have found.",5
1472,I had wanted to try this tea and the combination of teapot and tea was irrestible. The tea is very good and the teapot is great when it is just myself sitting down and relaxing. I have used the large bamboo container to set out guest tea selections in my home and the small container to carry tea with me camping. I would also recomend this as a gift to someone special.,5
1474,"I've never been much of a fan hazelnut, but I do enjoy drinking the International Hazelnut Non-Dairy creamier mixed into my morning cup of coffee.",5
1481,"The lids keep popping off when the cup fills up with water, the only I have not tried is putting 2 holes in bottom of the cup so that the water might flow out faster. It's a damn mess getting coffee grounds in your cup! I would not buy anymore of them, unless I can fix the problem!!!!!No more disposebale K-cups for me!",5
1489,"I found this product and price the best. I know this is an instant coffee, but it has great taste. You can't beat Amazon price or service any where.",5
1506,I got a Cuisinart single cup brewing system for Christmas and it came with 3 different K-Cups. Newmans Own is my favorite of the 3 by far. I would buy this coffee again! Nice and bold and rich!,5
1507,"I only got to drink one cup of this to make this review, but I thought it tasted great.  What I like about good coffee flavor is that earthy, rich coffee taste that comes from quality coffee and just being fresh brewed.  I tested this right after the coffee maker had finished so it was as fresh as it could be.  I like a little honey and fresh cream in mine and I was sad I only got to have just one cup.  I had to share with others at home and they all liked it as well.  I couldn't tell if anything tasted different since it is supposed to be low acid.  It tasted like regular coffee to me.",5
